domaine;code;occurrences;colonnes;sources
activite_regulee;136;44;activite.code_activite_regulee;finess_activites
activite_regulee;604;44;activite.code_activite_regulee;finess_activites
activite_regulee;634;44;activite.code_activite_regulee;finess_activites
activite_regulee;85;44;activite.code_activite_regulee;finess_activites
activite_regulee;QA013;44;activite.code_activite_regulee;finess_activites
activite_regulee;398;42;activite.code_activite_regulee;finess_activites
activite_regulee;417;42;activite.code_activite_regulee;finess_activites
activite_regulee;431;42;activite.code_activite_regulee;finess_activites
activite_regulee;638;42;activite.code_activite_regulee;finess_activites
activite_regulee;83;42;activite.code_activite_regulee;finess_activites
activite_regulee;036;40;activite.code_activite_regulee;finess_activites
activite_regulee;144;40;activite.code_activite_regulee;finess_activites
activite_regulee;153;40;activite.code_activite_regulee;finess_activites
activite_regulee;394;40;activite.code_activite_regulee;finess_activites
activite_regulee;395;40;activite.code_activite_regulee;finess_activites
activite_regulee;813;40;activite.code_activite_regulee;finess_activites
activite_regulee;091;38;activite.code_activite_regulee;finess_activites
activite_regulee;095;38;activite.code_activite_regulee;finess_activites
activite_regulee;134;38;activite.code_activite_regulee;finess_activites
activite_regulee;202;38;activite.code_activite_regulee;finess_activites
activite_regulee;365;38;activite.code_activite_regulee;finess_activites
activite_regulee;852;38;activite.code_activite_regulee;finess_activites
activite_regulee;991;38;activite.code_activite_regulee;finess_activites
activite_regulee;065;36;activite.code_activite_regulee;finess_activites
activite_regulee;103;36;activite.code_activite_regulee;finess_activites
activite_regulee;429;36;activite.code_activite_regulee;finess_activites
activite_regulee;463;36;activite.code_activite_regulee;finess_activites
activite_regulee;465;36;activite.code_activite_regulee;finess_activites
activite_regulee;554;36;activite.code_activite_regulee;finess_activites
activite_regulee;592;36;activite.code_activite_regulee;finess_activites
activite_regulee;624;36;activite.code_activite_regulee;finess_activites
activite_regulee;952;36;activite.code_activite_regulee;finess_activites
activite_regulee;QA010;36;activite.code_activite_regulee;finess_activites
activite_regulee;09;34;activite.code_activite_regulee;finess_activites
activite_regulee;183;34;activite.code_activite_regulee;finess_activites
activite_regulee;616;34;activite.code_activite_regulee;finess_activites
activite_regulee;720;34;activite.code_activite_regulee;finess_activites
activite_regulee;803;34;activite.code_activite_regulee;finess_activites
activite_regulee;101;32;activite.code_activite_regulee;finess_activites
activite_regulee;122;32;activite.code_activite_regulee;finess_activites
activite_regulee;472;32;activite.code_activite_regulee;finess_activites
activite_regulee;647;32;activite.code_activite_regulee;finess_activites
activite_regulee;869;32;activite.code_activite_regulee;finess_activites
activite_regulee;099;30;activite.code_activite_regulee;finess_activites
activite_regulee;523;30;activite.code_activite_regulee;finess_activites
activite_regulee;646;30;activite.code_activite_regulee;finess_activites
activite_regulee;749;30;activite.code_activite_regulee;finess_activites
